Particle_no,Perimeter,Convex_Perimeter,Area,Convex area,Solidity,Convexity,Equi_diameter,Circularity,Compactness,Min_Feret,Max_Feret,Aspect_ratio,Feret_aspect_ratio,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
0,156.853,91.7011,337,542,0.621771,0.584632,20.7143,0.503605,0.172129,21.6333,38.0789,56.0713,0.568118,42,0.90664,8.02381,0.191043
1,75.598,66.3358,259,295,0.877966,0.877481,18.1595,0.739629,0.569494,18.0278,25.6125,61.5969,0.703866,22,1.1642,11.7727,0.535124
2,29.5563,28.2827,46.5,52.5,0.885714,0.956908,7.69452,0.730501,0.6689,6.40312,11.4018,27.2523,0.561591,5,2.28035,9.3,1.86
3,10.2426,10.2426,5.5,5.5,1,1,2.64628,0.658793,0.658793,2.23607,4.47214,11.0565,0.5,5,0.894427,1.1,0.22
4,25.3137,23.0088,22,30,0.733333,0.908945,5.29257,0.522211,0.431441,5.09902,9.84886,17.5213,0.517727,9,1.09432,2.44444,0.271605
5,57.3553,47.8958,97.5,136.5,0.714286,0.835071,11.1419,0.534097,0.372449,9.84886,20.2485,31.8147,0.4864,19,1.06571,5.13158,0.270083
6,49.2132,45.3207,102.5,120.5,0.850622,0.920905,11.424,0.627105,0.531827,8.60233,19.105,34.9796,0.450266,15,1.27366,6.83333,0.455556
7,72.1838,66.793,236.5,267.5,0.884112,0.925319,17.3528,0.666161,0.570377,15.6205,26.2488,54.777,0.595094,19,1.38152,12.4474,0.655125
8,19.8995,18.2847,17.5,22,0.795455,0.918852,4.72035,0.657768,0.555346,4.47214,7,18.9074,0.638877,7,1,2.5,0.357143
9,28.1421,24.7532,36,43.5,0.827586,0.879578,6.77028,0.738329,0.571213,7.07107,8.544,28.3423,0.827606,7,1.22057,5.14286,0.734694
10,139.64,81.1916,279.5,464,0.602371,0.581437,18.8645,0.532806,0.180125,23.1948,27.8029,63.9867,0.83426,34,0.817732,8.22059,0.241782
11,39.799,36.32,73,84.5,0.863905,0.912586,9.64088,0.69541,0.579147,8,14.7648,32.1965,0.541828,9,1.64054,8.11111,0.901235
12,65.1127,49.0874,118,166,0.710843,0.753884,12.2573,0.615392,0.349752,12.53,18.2483,42.1898,0.686638,18,1.01379,6.55556,0.364198
13,33.3137,31.8559,60,66.5,0.902256,0.956238,8.74039,0.74299,0.679384,7.07107,12.1655,31.8863,0.581238,9,1.35173,6.66667,0.740741
14,10.8284,10.6503,6,6.5,0.923077,0.983548,2.76395,0.66472,0.643029,2.23607,4.47214,12.0598,0.5,4,1.11803,1.5,0.375
15,35.5563,33.8769,51.5,59.5,0.865546,0.952765,8.09764,0.563911,0.511897,6.08276,15.2971,23.4817,0.397643,16,0.956066,3.21875,0.201172
16,52.2843,49.0344,99,120.5,0.821577,0.937842,11.2272,0.51742,0.455096,8,21.9317,29.595,0.364769,18,1.21843,5.5,0.305556
17,22.7279,21.1263,24.5,29,0.844828,0.929529,5.58519,0.689811,0.596014,4.24264,8.06226,21.5642,0.526235,5,1.61245,4.9,0.98
18,28.1421,24.3095,25,37.5,0.666667,0.863813,5.6419,0.531614,0.396676,5.09902,9.48683,19.6714,0.537484,11,0.862439,2.27273,0.206612
19,18.4853,18.0552,20,21.5,0.930233,0.976734,5.04627,0.770966,0.735509,4.12311,7.28011,19.4956,0.566352,7,1.04002,2.85714,0.408163
20,60.1838,49.2743,127.5,165,0.772727,0.818731,12.7412,0.659901,0.442345,12.2066,18.0278,45.1101,0.677098,17,1.06046,7.5,0.441176
21,21.8995,20.4628,25.5,28.5,0.894737,0.934398,5.69804,0.765276,0.668162,5.83095,7.61577,23.4194,0.765641,6,1.2693,4.25,0.708333
22,25.3137,23.3006,32,38,0.842105,0.920472,6.38308,0.740674,0.62755,6.32456,8.94427,24.7398,0.707107,6,1.49071,5.33333,0.888889
23,82.5269,70.495,178.5,218,0.818807,0.854206,15.0756,0.451369,0.329349,10.198,31.0644,37.4643,0.328286,32,0.970764,5.57813,0.174316
24,116.711,94.6818,496,572,0.867133,0.811252,25.1302,0.695279,0.457583,20.5183,38.8973,74.2717,0.527499,37,1.05128,13.4054,0.362308
25,71.598,59.4258,169,199.5,0.847118,0.829993,14.6689,0.601377,0.414281,10.4403,25.4951,41.8396,0.409503,27,0.944263,6.25926,0.231824
26,40.6274,36.9389,81,96,0.84375,0.909211,10.1554,0.745981,0.616675,9.48683,13.6015,37.2425,0.697486,9,1.51127,9,1
27,61.4558,56.2258,135,182.5,0.739726,0.914898,13.1106,0.536627,0.449177,10.198,22.3607,38.7337,0.45607,22,1.01639,6.13636,0.278926
28,34.3848,27.3247,25.5,47,0.542553,0.794673,5.69804,0.429181,0.27103,5.83095,10.2956,20.2333,0.566352,10,1.02956,2.55,0.255
29,88.3259,60.8475,156.5,236,0.663136,0.688898,14.116,0.531176,0.252086,15.1327,22.0907,44.5,0.685027,22,1.00412,7.11364,0.323347
30,104.811,71.2196,195.5,320.5,0.609984,0.679503,15.7771,0.484349,0.223636,17.8885,28.6531,44.6407,0.624314,32,0.895409,6.10938,0.190918
31,106.426,94.0311,329,424,0.775943,0.883531,20.4669,0.467588,0.365012,16.4012,41.3038,49.0047,0.397088,43,0.960552,7.65116,0.177934
32,62.2843,57.1145,183,201,0.910448,0.916998,15.2644,0.704965,0.592795,12.0416,23.3452,47.883,0.515805,18,1.29696,10.1667,0.564815
33,12.2426,11.8863,7.5,8.5,0.882353,0.970898,3.09019,0.667074,0.628812,3.60555,4.47214,14.0698,0.806226,4,1.11803,1.875,0.46875
34,135.095,116.26,274.5,411,0.667883,0.86058,18.695,0.255205,0.189004,9.84886,55.4437,32.4423,0.177637,44,1.26008,6.23864,0.141787
35,67.3553,58.7067,197.5,236.5,0.835095,0.871597,15.8576,0.720115,0.547057,14.3178,22.8035,52.8215,0.627878,16,1.42522,12.3438,0.771484
36,79.598,64.7528,213,291,0.731959,0.813498,16.4682,0.638371,0.42246,18.2483,24.4131,53.3309,0.747479,25,0.976524,8.52,0.3408
37,66.2843,57.849,187,215.5,0.867749,0.872741,15.4304,0.702199,0.534848,13.0384,23.8537,48.5166,0.546598,18,1.32521,10.3889,0.57716
38,120.125,82.1373,261.5,438.5,0.596351,0.683766,18.247,0.48708,0.227728,21.6333,30.5287,54.2949,0.708623,35,0.872248,7.47143,0.213469
39,430.701,221.96,1528,2521.5,0.605988,0.515345,44.1079,0.38975,0.10351,34.0588,98.4073,92.1788,0.3461,92,1.06964,16.6087,0.180529
40,90.9117,58.4956,134,230,0.582609,0.643434,13.0619,0.492116,0.203739,17.4929,19.9249,45.8257,0.877941,27,0.737958,4.96296,0.183813
41,45.2132,41.517,108.5,121,0.896694,0.91825,11.7536,0.791019,0.666974,10.7703,15.2971,43.8461,0.704078,12,1.27475,9.04167,0.753472
42,53.9411,48.2032,110,139,0.791367,0.893627,11.8345,0.594909,0.475075,11.6619,19.4165,35.5727,0.600619,19,1.02192,5.78947,0.304709
43,587.37,338.457,1442.5,4477.5,0.322166,0.576224,42.8561,0.158241,0.0525415,64.3817,154.052,58.1089,0.417922,162,0.950938,8.90432,0.0549649
